Airport,1,410_Newcastle_Airport_(Tyne_and_Wear_Metro_Station
Callerton Parkway,1,410_Callerton_Parkway_(Tyne_and_Wear_Metro_Station
Bank Foot,1,410_Bank_Foot_(Tyne_and_Wear_Metro_Station)
Kingston Park,1,410_Kingston_Park_(Tyne_and_Wear_Metro_Station)
Fawdon,1,410_Fawdon_(Tyne_and_Wear_Metro_Station)
Wansbeck Road,1,410_Wansbeck_Road_(Tyne_and_Wear_Metro_Station)
Regent Centre,1,410_Regent_Centre_(Tyne_and_Wear_Metro_Station)
St James,2,410_St_James_(Tyne_and_Wear_Metro_Station)
Monument,3,410_Monument_(Tyne_and_Wear_Metro_Station)
Manors,2,410_Manors_(Tyne_and_Wear_Metro_Station)
Byker,2,410_Byker_(Tyne_and_Wear_Metro_Station)
Chillingham Road,2,410_Chillingham_Road_(Tyne_and_Wear_Metro_Station)
Walkergate,2,410_Walkergate_(Tyne_and_Wear_Metro_Station)
Wallsend,2,410_Wallsend_(Tyne_and_Wear_Metro_Station)
Hadrian Road,2,410_Hadrian_Road_(Tyne_and_Wear_Metro_Station)
Howdon,2,410_Howdon_(Tyne_and_Wear_Metro_Station)
Percy Main,2,410_Percy_Main_(Tyne_and_Wear_Metro_Station)
Meadow Well,2,410_Meadow_Well_(Tyne_and_Wear_Metro_Station)
North Shields,2,410_North_Shields_(Tyne_and_Wear_Metro_Station)
Tynemouth,2,410_Tynemouth_(Tyne_and_Wear_Metro_Station)
Cullercoats,2,410_Cullercoats_(Tyne_and_Wear_Metro_Station)
Whitley Bay,2,410_Whitley_Bay_(Tyne_and_Wear_Metro_Station)
Monkseaton,2,410_Monkseaton_(Tyne_and_Wear_Metro_Station)
West Monkseaton,2,410_West_Monkseaton_(Tyne_and_Wear_Metro_Station)
Shiremoor,2,410_Shiremoor_(Tyne_and_Wear_Metro_Station)
Northumberland Park,2,410_Northumberland_Park_(Tyne_Wear_Metro_Station)
Palmersville,2,410_Palmersville_(Tyne_and_Wear_Metro_Station)
Benton,2,410_Benton_(Tyne_and_Wear_Metro_Station)
Four Lane Ends,2,410_Four_Lane_Ends_(Tyne_and_Wear_Metro_Station)
Longbenton,2,410_Longbenton_(Tyne_and_Wear_Metro_Station)
South Gosforth,3,410_South_Gosforth_(Tyne_and_Wear_Metro_Station)
Ilford Road,3,410_Ilford_Road_(Tyne_and_Wear_Metro_Station)
West Jesmond,3,410_West_Jesmond_(Tyne_and_Wear_Metro_Station)
Jesmond,3,410_Jesmond_(Tyne_and_Wear_Metro_Station)
Haymarket,3,410_Haymarket_(Tyne_and_Wear_Metro_Station)
Central Station,3,410_Central_Station_(Tyne_and_Wear_Metro_Station)
Gateshead,3,410_Gateshead_(Tyne_and_Wear_Metro_Station)
Gateshead Stadium,3,410_Gateshead_Stadium_(Tyne_and_Wear_Metro_Station
Felling,3,410_Felling_(Tyne_and_Wear_Metro_Station)
Heworth,3,410_Heworth_(Tyne_and_Wear_Metro_Station)
Pelaw,3,410_Pelaw_(Tyne_and_Wear_Metro_Station)
Hebburn,2,410_Hebburn_(Tyne_and_Wear_Metro_Station)
Jarrow,2,410_Jarrow_(Tyne_and_Wear_Metro_Station)
Bede,2,410_Bede_(Tyne_and_Wear_Metro_Station)
Simonside,2,410_Simonside_(Tyne_and_Wear_Metro_Station)
Tyne Dock,2,410_Tyne_Dock_(Tyne_and_Wear_Metro_Station)
Chichester,2,410_Chichester_(Tyne_and_Wear_Metro_Station)
South Shields,2,410_South_Shields_(Tyne_and_Wear_Metro_Station)
Fellgate,1,410_Fellgate_(Tyne_and_Wear_Metro_Station)
Brockley Whins,1,410_Brockley_Whins_(Tyne_and_Wear_Metro_Station)
East Boldon,1,410_East_Boldon_(Tyne_and_Wear_Metro_Station)
Seaburn,1,410_Seaburn_(Tyne_and_Wear_Metro_Station)
Stadium Of Light,1,410_Stadium_Of_Light_(Tyne_and_Wear_Metro_Station)
St Peter’s,1,410_St_Peters_(Tyne_and_Wear_Metro_Station)
Sunderland,1,410_Sunderland_(Tyne_and_Wear_Metro_Station)
Park Lane,1,410_Park_Lane_(Tyne_and_Wear_Metro_Station)
University,1,410_University_(Tyne_and_Wear_Metro_Station)
Millfield,1,410_Millfield_(Tyne_and_Wear_Metro_Station)
Pallion,1,410_Pallion_(Tyne_and_Wear_Metro_Station)
South Hylton,1,410_South_Hylton_(Tyne_and_Wear_Metro_Station)
